p_ASC_main;run_1;run_2;run_3;run_4;run_5;run_6;run_7;run_8;run_9;run_10;run_11;run_12;run_13;run_14;run_15;run_16;run_17;run_18;run_19;run_20;run_21;run_22;run_23;run_24;run_25;run_26;run_27;run_28;run_29;run_30
smcn_adam_c10_alpha_relu_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_tanh_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_elu_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_TERIS_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_relu_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_tanh_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_alpha_elu_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_TERIS_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_TERIS_prenorm_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_TERIS_prenorm;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_S_TERIS_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_S_TERIS_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_N_TERIS_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_N_TERIS_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_A_TERIS_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_A_TERIS_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_P_TERIS_pre_notrain;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
smcn_adam_c10_ABU_P_TERIS_pre;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished;finished
